Tue Jan 21 15:00:24 2020: iniziata nuova sessione Server.
Tue Jan 21 15:00:31 2020: a si è connesso al Server.
Tue Jan 21 15:00:31 2020: iniziata nuova partita con ID 5280.
Tue Jan 21 15:00:31 2020: l'utente a si è unito alla partita con ID 5280.
Tue Jan 21 15:00:33 2020: in partita con ID 5280 a è andato da  da [0,8] a [0,7].
Tue Jan 21 15:00:34 2020: in partita con ID 5280 a è andato da  da [0,7] a [0,6].
Tue Jan 21 15:00:35 2020: in partita con ID 5280 a è andato da  da [0,6] a [0,5].
Tue Jan 21 15:00:35 2020: in partita con ID 5280 a è andato da  da [0,5] a [0,4].
Tue Jan 21 15:00:36 2020: in partita con ID 5280 a è andato da  da [0,4] a [0,3].
Tue Jan 21 15:00:36 2020: in partita con ID 5280 a è andato da  da [0,3] a [0,2].
Tue Jan 21 15:00:37 2020: in partita con ID 5280 a è andato da  da [0,2] a [0,1].
Tue Jan 21 15:00:40 2020: in partita con ID 5280 a è andato da  da [0,1] a [0,2].
Tue Jan 21 15:00:40 2020: in partita con ID 5280 a è andato da  da [0,2] a [0,3].
Tue Jan 21 15:00:41 2020: in partita con ID 5280 a è andato da  da [0,3] a [1,3].
Tue Jan 21 15:00:44 2020: in partita con ID 5280 a è andato da  da [1,3] a [1,4].
Tue Jan 21 15:00:45 2020: in partita con ID 5280 a è andato da  da [1,4] a [2,4].
Tue Jan 21 15:00:52 2020: in partita con ID 5280 a è andato da  da [2,4] a [3,4].
Tue Jan 21 15:00:57 2020: finita sessione Server.
